#,nodes,n_gw,cost,algo,cost_customer,5ymontlycostcustomer,type_cost,area,ratio,cluster_size,time,seed
111,284,1,6997.256,dijkstra,20.049444126074498,0.3341574021012416,fiber_cost,fauglia,25,200,17128264807,50
112,272,1,48500.0,dijkstra,137.00564971751413,2.2834274952919023,router_cost,fauglia,25,200,17128263190,50
113,272,1,153700.0,dijkstra,434.180790960452,7.236346516007533,deploy,fauglia,25,200,17128263190,50
114,272,1,165085.0,dijkstra,466.34180790960454,7.772363465160076,radio_cost,fauglia,25,200,17128263190,50
115,272,1,6907.06,dijkstra,19.511468926553672,0.32519114877589456,fiber_cost,fauglia,25,200,17128263190,50
116,264,1,51500.0,dijkstra,148.4149855907781,2.4735830931796348,router_cost,fauglia,25,200,17128263523,50
117,264,1,154000.0,dijkstra,443.80403458213254,7.396733909702209,deploy,fauglia,25,200,17128263523,50
118,264,1,176859.0,dijkstra,509.68011527377524,8.494668587896255,radio_cost,fauglia,25,200,17128263523,50
119,264,1,10602.322000000002,dijkstra,30.55424207492796,0.5092373679154659,fiber_cost,fauglia,25,200,17128263523,50
120,263,1,46500.0,dijkstra,132.47863247863248,2.207977207977208,router_cost,fauglia,25,200,17128262517,50
121,263,1,147300.0,dijkstra,419.65811965811963,6.994301994301995,deploy,fauglia,25,200,17128262517,50
122,263,1,169783.0,dijkstra,483.7122507122507,8.061870845204178,radio_cost,fauglia,25,200,17128262517,50
123,263,1,5597.93,dijkstra,15.948518518518519,0.2658086419753087,fiber_cost,fauglia,25,200,17128262517,50
124,283,1,46500.0,dijkstra,131.72804532577905,2.1954674220963173,router_cost,fauglia,25,200,17128263323,50
125,283,1,154200.0,dijkstra,436.8271954674221,7.280453257790367,deploy,fauglia,25,200,17128263323,50
126,283,1,169307.0,dijkstra,479.62322946175635,7.993720491029272,radio_cost,fauglia,25,200,17128263323,50
127,283,1,6997.256,dijkstra,19.822254957507084,0.3303709159584514,fiber_cost,fauglia,25,200,17128263323,50
128,271,1,44000.0,dijkstra,124.29378531073446,2.071563088512241,router_cost,fauglia,25,200,17128264608,50
129,271,1,147100.0,dijkstra,415.5367231638418,6.925612052730696,deploy,fauglia,25,200,17128264608,50
130,271,1,163402.0,dijkstra,461.5875706214689,7.693126177024482,radio_cost,fauglia,25,200,17128264608,50
131,271,1,11405.896,dijkstra,32.22004519774011,0.5370007532956685,fiber_cost,fauglia,25,200,17128264608,50
132,281,1,51000.0,dijkstra,144.47592067988668,2.407932011331445,router_cost,fauglia,25,200,17128264738,50
133,281,1,159600.0,dijkstra,452.1246458923513,7.535410764872521,deploy,fauglia,25,200,17128264738,50
134,281,1,181776.0,dijkstra,514.9461756373938,8.582436260623231,radio_cost,fauglia,25,200,17128264738,50
135,281,1,4705.938000000001,dijkstra,13.331269121813033,0.2221878186968839,fiber_cost,fauglia,25,200,17128264738,50
136,283,1,50000.0,dijkstra,142.85714285714286,2.380952380952381,router_cost,fauglia,25,200,17128263124,50
137,283,1,158200.0,dijkstra,452.0,7.533333333333334,deploy,fauglia,25,200,17128263124,50
138,283,1,182698.0,dijkstra,521.9942857142858,8.699904761904763,radio_cost,fauglia,25,200,17128263124,50
139,283,1,13796.655999999997,dijkstra,39.419017142857136,0.6569836190476189,fiber_cost,fauglia,25,200,17128263124,50
140,273,1,49500.0,dijkstra,139.83050847457628,2.330508474576271,router_cost,fauglia,25,200,17128265545,50
141,273,1,155400.0,dijkstra,438.9830508474576,7.316384180790959,deploy,fauglia,25,200,17128265545,50
142,273,1,173683.0,dijkstra,490.62994350282486,8.17716572504708,radio_cost,fauglia,25,200,17128265545,50
143,273,1,10353.564,dijkstra,29.24735593220339,0.48745593220338984,fiber_cost,fauglia,25,200,17128265545,50
144,271,1,44000.0,dijkstra,126.07449856733524,2.1012416427889207,router_cost,fauglia,25,200,17128265007,50
145,271,1,145900.0,dijkstra,418.0515759312321,6.967526265520536,deploy,fauglia,25,200,17128265007,50
146,271,1,159436.0,dijkstra,456.83667621776505,7.613944603629418,radio_cost,fauglia,25,200,17128265007,50
147,271,1,10381.372,dijkstra,29.74605157593123,0.4957675262655205,fiber_cost,fauglia,25,200,17128265007,50
148,284,1,49000.0,dijkstra,140.0,2.3333333333333335,router_cost,fauglia,25,200,17128265677,50
149,284,1,156800.0,dijkstra,448.0,7.466666666666666,deploy,fauglia,25,200,17128265677,50
150,284,1,176244.0,dijkstra,503.5542857142857,8.392571428571427,radio_cost,fauglia,25,200,17128265677,50
151,284,1,6907.06,dijkstra,19.734457142857146,0.32890761904761906,fiber_cost,fauglia,25,200,17128265677,50
152,285,1,51000.0,dijkstra,143.25842696629215,2.3876404494382024,router_cost,fauglia,25,200,17128263858,50
153,285,1,161700.0,dijkstra,454.2134831460674,7.570224719101123,deploy,fauglia,25,200,17128263858,50
154,285,1,179266.0,dijkstra,503.5561797752809,8.392602996254682,radio_cost,fauglia,25,200,17128263858,50
155,285,1,3435.492,dijkstra,9.650258426966293,0.1608376404494382,fiber_cost,fauglia,25,200,17128263858,50
156,267,1,44500.0,dijkstra,125.35211267605634,2.0892018779342725,router_cost,fauglia,25,200,17128265411,50
