#failed,mean_dijkstra_1,mean_dijkstra_2,mean_espfp_2,ci_dijkstra_1,ci_dijkstra_2,ci_espfp_2
33,0.771105113441526,0.8117028476546647,0.9067559694211356,0.012662595323358299,0.009186205376683552,0.004398591745821898
34,0.7624042952944656,0.8049621555625774,0.9036632544105402,0.013124787384131075,0.009489169499768916,0.0045338890980267076
35,0.7572896216962771,0.7978344690132585,0.9000291381006068,0.013318891424947486,0.00984931602234799,0.004706370556051245
36,0.749052683959416,0.791038480533338,0.8966181281938763,0.013666497126082328,0.010169141586165786,0.004872412323078351
37,0.7408708833730118,0.7848377375347573,0.8926039146934246,0.01406178203522945,0.010446577628940018,0.005090956238274838
38,0.7345889279264806,0.7775929777143628,0.889045527222639,0.014284863437786198,0.010805582205385458,0.005251758561875625
39,0.7263162048333787,0.7710148222772507,0.8853136857176677,0.014657731403847745,0.011121280496820584,0.0054591560969506235
40,0.7207911173956318,0.7633156208260624,0.8818753404274722,0.014836046130702767,0.01151810478295789,0.005616441410898916
41,0.7138658400879581,0.7564033482258817,0.878040318838311,0.01509450905527822,0.011835705422542739,0.005804452157526797
42,0.7049093731859061,0.749884307768196,0.8742418167895445,0.015517238340772442,0.012154230562287456,0.005957613828990986
43,0.6963096913080912,0.7425407496001833,0.8699880222142706,0.015923804990775205,0.012500287966482025,0.006171997284611524
44,0.6917261850503588,0.7355217743159539,0.8655343927159845,0.016012720868665488,0.012861555030867151,0.006448745766662501
45,0.6823657857023131,0.728426424735229,0.862010984302028,0.016369397047822868,0.013187343096719846,0.006594561588969411
46,0.6742559476758918,0.7229291385992803,0.8578394852797386,0.016712394863374776,0.013456512280614563,0.006818357839701908
47,0.6674139373642269,0.7157706039705721,0.8542045903328654,0.01694167011323779,0.01376393489142488,0.006994194790889327
48,0.6618568424086726,0.7086414972885516,0.849762951223247,0.017125737569210205,0.014110863346480294,0.007227858681693688
49,0.6535350078077521,0.7028003377710282,0.8456308277684914,0.01747415162950841,0.014330342894161841,0.007455511925050546
